Biomarker,Biomarker_HGNC,TargetGene,TargetGene_HGNC,OncogeneAddiction,T-stat,P-value,EffectSize,n_Amplified,n_WT,MeanEffect_Amplified,MeanEffect_WT,FDR
10061,ABCF2,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
1020,CDK5,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
11194,ABCB8,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
116988,AGAP3,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
155435,RBM33,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
22976,PAXIP1,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
51422,PRKAG2,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
51435,SCARA3,10615,SPAG5,False,-8.076604433116957,7.991979572120204e-07,-3.2651690862581986,3,14,-0.8748067221341355,-0.4883079570607924,0.0555586376606009
6009,RHEB,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
64216,TFB2M,91746,YTHDC1,False,-10.116307263418088,1.918786929325836e-07,-4.600229383649622,4,13,-0.9960611466498634,-0.5217737689541905,0.0555586376606009
6522,SLC4A2,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
83590,TMUB1,5298,PI4KB,False,-8.175293186809657,6.746553144793937e-07,-3.237589986590083,3,14,-0.4613726165764006,-0.1846328281442268,0.0555586376606009
